danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.589,0.389,0,-5.972,1,0.028,0.851,0,0.0772,0.501,89.1,audio_features,7l1qvxWjxcKpB9PCtBuTbU,spotify:track:7l1qvxWjxcKpB9PCtBuTbU,https://api.spotify.com/v1/tracks/7l1qvxWjxcKpB9PCtBuTbU,https://api.spotify.com/v1/audio-analysis/7l1qvxWjxcKpB9PCtBuTbU,197470,4
0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,audio_features,1oERlssLrpssCAY6Yqqs6c,spotify:track:1oERlssLrpssCAY6Yqqs6c,https://api.spotify.com/v1/tracks/1oERlssLrpssCAY6Yqqs6c,https://api.spotify.com/v1/audio-analysis/1oERlssLrpssCAY6Yqqs6c,197443,4
0.76,0.733,7,-6.704,1,0.0504,0.15,0,0.0647,0.611,111.975,audio_features,0inMKhbKWOTDA9UBUAKoU6,spotify:track:0inMKhbKWOTDA9UBUAKoU6,https://api.spotify.com/v1/tracks/0inMKhbKWOTDA9UBUAKoU6,https://api.spotify.com/v1/audio-analysis/0inMKhbKWOTDA9UBUAKoU6,225027,4
0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,audio_features,6b8Be6ljOzmkOmFslEb23P,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,225983,4
0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,audio_features,4pryE6cN2gFL1FVF5fYINl,spotify:track:4pryE6cN2gFL1FVF5fYINl,https://api.spotify.com/v1/tracks/4pryE6cN2gFL1FVF5fYINl,https://api.spotify.com/v1/audio-analysis/4pryE6cN2gFL1FVF5fYINl,242096,4
0.836,0.622,1,-11.003,1,0.0946,0.00269,0.000566,0.335,0.892,102.015,audio_features,2K6vUau7bnZUamjbRSOOvJ,spotify:track:2K6vUau7bnZUamjbRSOOvJ,https://api.spotify.com/v1/tracks/2K6vUau7bnZUamjbRSOOvJ,https://api.spotify.com/v1/audio-analysis/2K6vUau7bnZUamjbRSOOvJ,165001,4
0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478,4
0.701,0.579,10,-5.673,1,0.0412,0.569,0,0.255,0.349,129.967,audio_features,1EKaijlcDudlSlPXNvN9cL,spotify:track:1EKaijlcDudlSlPXNvN9cL,https://api.spotify.com/v1/tracks/1EKaijlcDudlSlPXNvN9cL,https://api.spotify.com/v1/audio-analysis/1EKaijlcDudlSlPXNvN9cL,181653,4
0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4
0.853,0.871,8,-3.715,1,0.0851,0.0145,6.84e-05,0.198,0.863,124.021,audio_features,1I6pKIyaBp4OebTGLJpCCC,spotify:track:1I6pKIyaBp4OebTGLJpCCC,https://api.spotify.com/v1/tracks/1I6pKIyaBp4OebTGLJpCCC,https://api.spotify.com/v1/audio-analysis/1I6pKIyaBp4OebTGLJpCCC,210053,4
